FIRE STATION LIST(CITY- KOLKATA),,
Name,pinCodeInput,Contact number
ALIFNAGAR FIRE STATION,700013,2449-3284
BEHALA FIRE STATION,700063,2417-2085
CANAL WEST FIRE STATION,700004,2350-8898
CENTRAL AVENUE FIRE STATION,700073,2241-4545
COSSIPORE FIRE STATION,700002,2241-4545
DUM DUM FIRE STATION,700043,2551-4309
FIRE BRIGADE HQ,700016,2244-0101
GARDEN REACH FIRE STATION,700043,2449-2303
GARIAHAT FIRE STATION,700019,2474-2841
KALIGHAT FIRE STATION,700026,2244-0101
LAL BAZAR FIRE STATION,700001,2241-4545
MANICKTALA FIRE STATION,700054,2337-7489
TOLLYGUNGE FIRE STATION,700040,2471-2393
